#group,false,false,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,long,long,long,long,long,long,long,double,string,double,string,long,string,string,long,long,long,long
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,pci,rnti,testbed,bsr,cqi,dl_brate,dl_bs,dl_mcs,dl_nof_nok,dl_nof_ok,pucch_snr_db,pucch_ta_ns,pusch_snr_db,pusch_ta_ns,ri,srs_ta_ns,ta_ns,ul_brate,ul_mcs,ul_nof_nok,ul_nof_ok
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:22.338Z,ue_info,1,4601,default,0,11,5728,0,17,1,10,1.471946,204.630496,29.066002,363.159188,1,n/a,207.738921,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:23.338Z,ue_info,1,4601,default,0,11,4216,0,18,0,7,1.3767171,196.736664,28.905334,315.009231,1,n/a,203.431341,14592,27,0,3
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:24.338Z,ue_info,1,4601,default,0,11,4464,0,15,0,9,0.18438885,213.328065,28.149002,401.560470,1,n/a,220.567756,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:25.338Z,ue_info,1,4601,default,0,11,3544,0,15,0,7,3.357159,232.482890,31.1665,115.712481,1,n/a,223.833268,19456,27,0,4
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:26.338Z,ue_info,1,4601,default,0,12,4144,0,18,0,7,3.1898694,242.482571,33.0124,135.599777,1,n/a,232.765927,24320,27,0,5
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:27.338Z,ue_info,1,4601,default,0,12,5440,0,18,0,9,4.055908,220.642008,32.79,149.027500,1,n/a,219.237833,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:28.338Z,ue_info,1,4601,default,0,12,6280,0,15,0,10,5.467364,183.369963,32.443504,150.299073,1,n/a,180.920281,18176,27,0,4
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:29.338Z,ue_info,1,4601,default,0,12,4848,0,18,0,8,5.040037,218.393993,32.364002,156.148275,1,n/a,217.173465,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:30.338Z,ue_info,1,4601,default,0,12,1824,0,14,0,4,3.4709425,184.580472,29.77,253.550212,1,n/a,187.233155,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:31.338Z,ue_info,1,4601,default,0,12,1744,0,17,0,3,1.5754175,174.692801,29.734001,157.928469,1,n/a,174.048012,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:32.338Z,ue_info,1,4601,default,0,11,4408,0,17,0,8,1.6489074,187.744121,29.145,154.876716,1,n/a,186.479994,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:33.338Z,ue_info,1,4601,default,0,11,3160,0,16,0,6,0.6790567,234.181684,29.654669,134.785964,1,n/a,228.555507,14592,27,0,3
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:34.338Z,ue_info,1,4601,default,0,12,3680,0,16,0,7,0.9663587,215.067544,28.558,103.759767,1,n/a,212.885041,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:35.338Z,ue_info,1,4601,default,0,11,8560,3,17,1,15,1.9838104,253.774033,28.379333,215.657565,1,n/a,251.616541,14592,27,0,3
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:37.338Z,ue_info,1,4601,default,0,15,7552,3,24,0,9,7.7974634,220.001183,31.506,382.995609,1,n/a,226.270245,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:38.338Z,ue_info,1,4601,default,0,15,86816,0,24,2,27,9.581145,220.418301,30.325779,210.006178,1,n/a,217.662162,114728,27,3,15
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:39.338Z,ue_info,1,4601,default,0,15,77928,0,24,1,37,10.723048,245.257638,29.059126,326.220174,1,n/a,264.591932,78992,27,4,12
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:40.338Z,ue_info,1,4601,default,0,15,15120,0,24,0,15,3.7736318,224.853508,33.707,158.437089,1,n/a,222.299050,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:41.338Z,ue_info,1,4601,default,0,15,8400,0,24,0,10,-0.40027532,276.662234,25.658,375.705298,1,n/a,282.268360,9728,27,1,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:42.338Z,ue_info,1,4601,default,0,15,22504,0,24,0,15,3.4225843,289.510098,30.347002,282.160443,1,n/a,288.496381,36032,27,0,8
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:43.338Z,ue_info,1,4601,default,0,15,6744,0,24,0,8,1.3360926,238.271085,31.044,131.225590,1,n/a,236.172127,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:44.338Z,ue_info,1,4601,default,0,15,42440,0,24,0,15,3.3983686,260.101331,31.109335,235.154886,1,n/a,258.689283,14592,27,0,3
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:45.338Z,ue_info,1,4601,default,0,15,8400,0,24,0,10,0.9224038,233.835848,27.578503,203.704829,1,n/a,231.603906,14592,27,1,3
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:46.338Z,ue_info,1,4601,default,0,15,3352,0,24,0,4,1.4466923,176.371245,32.25,132.751467,1,n/a,175.515979,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:47.338Z,ue_info,1,4601,default,0,15,10904,0,24,0,13,1.3445001,230.214440,29.684002,377.909345,1,n/a,233.110427,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:48.338Z,ue_info,1,4601,default,0,15,6784,0,24,0,8,1.527426,212.860101,31.094002,257.619206,1,n/a,214.581632,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:49.338Z,ue_info,1,4601,default,0,15,9288,0,24,0,11,1.1214055,244.547493,29.311,414.530462,1,n/a,251.085339,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:50.338Z,ue_info,1,4601,default,0,15,10864,0,24,0,13,2.1453984,229.797365,31.690002,373.840322,1,n/a,232.621758,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:51.338Z,ue_info,1,4601,default,0,15,12680,0,24,0,15,0.8223509,239.410411,24.691002,102.996822,1,n/a,234.163750,4864,27,1,1
