timestamp_unix,datetime_utc,labels,value
1774001490,2026-03-20T10:11:30Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",19
1774001505,2026-03-20T10:11:45Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",19
1774001520,2026-03-20T10:12:00Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",19
1774001535,2026-03-20T10:12:15Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",19
1774001550,2026-03-20T10:12:30Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",19
1774001565,2026-03-20T10:12:45Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",19
1774001580,2026-03-20T10:13:00Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",19
1774001595,2026-03-20T10:13:15Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",19
1774001610,2026-03-20T10:13:30Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",19
1774001625,2026-03-20T10:13:45Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",19
1774001640,2026-03-20T10:14:00Z,"{""__name__"": ""fivegs_smffunction_sm_pdusessioncreationsucc"", ""instance"": ""192.168.50.4:9090"", ""job"": ""open5gs-smf"", ""plmnid"": ""26201"", ""snssai"": ""1-000001""}",19
